url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@gocnhachay.kind/video/7154706292840467738?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Cô đơn không có gì sợ hết...!#tinhyeu #radioanh #truonggiang #khanhu #LearnOnTikTok #xuhuong,839.3K,4464,1,00:12/00:15,1668683682.6357443,daivt
https://www.tiktok.com/@quynhnaa/video/7145066898655366426?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Ai sẽ đưa em về?? 🤪🤪 Dc: @Quắnn là Quânn #dancing #xuhuongtiktok,405K,2491,0,00:02/00:15,1668683686.2349944,daivt
https://www.tiktok.com/@nglinhdan2412/video/7163125647773125915?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,môi đoạn sau nhìn hài zll=)))),120.4K,247,0,00:01/00:11,1668683688.4752448,daivt
https://www.tiktok.com/@phammaihuong.pmh/video/7166433633786498331?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Bing Chilling là gì? Nguồn gốc trend #bingchilling #phammaihuong #learnontiktok,288K,2049,1,00:20/00:49,1668683709.9606614,daivt
https://www.tiktok.com/@mr.duylong2k/video/7166558203424247067?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"Đồ Lông chổi, của phụ huynh em🥹#Xh #fyp #xuhuong",180.9K,1659,0,00:03/00:14,1668683714.11945,daivt
https://www.tiktok.com/@txt.bighitent/video/7159520446084320514?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Something for MOA before the final bang❤️,3.1M,31.9K,0,00:01/00:09,1668683715.9647956,daivt
https://www.tiktok.com/@noticuadua88/video/7163935919651835162?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,,223.4K,1387,0,00:02/00:14,1668683719.2844257,daivt
https://www.tiktok.com/@userthuonghoai0278/video/7164739746592247067?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Người thông minh thường có lối đi riêng 🤣🤣,122.2K,3330,0,00:04/00:17,1668683725.371989,daivt
https://www.tiktok.com/@1010tvkiet8/video/7165515528084180251?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Trả lời @Nguyễn Tấn Dũng #f đây nha bạn #xuhuongtiktok #haokhivietnam,58.2K,1357,0,00:01/00:12,1668683728.26385,daivt
https://www.tiktok.com/@_ahn.3/video/7148035301146103067?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Tiếc là chia tay mất rùi🥺 #foryou #fyp #xyzbca #xh,523K,878,0,00:03/00:15,1668683733.0469503,daivt
https://www.tiktok.com/@thuychiofficial/video/7164730304110890266?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Nội tâm thầm kín #ThuyChi #TheMaskedSingerVietnam #90REntertainment #VRHolding,453.4K,382,1,00:05/00:59,1668683739.2040513,daivt
https://www.tiktok.com/@yurikopiano/video/7142146157400132890?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Replying to @T.trúc😡 Tone thấp đây mọi người ơi / Chuyện đôi ta Emcee L ft Muội #chuyendoita #dalab #yurikopiano #pianocover #nhacviet #nhacviethot #nhachottiktok #nhachaymoingay #nhacnaychillphet #nhachay #nhactamtrang #pianocover #nhacpiano,606.4K,1542,1,00:03/00:34,1668683743.7503598,daivt
https://www.tiktok.com/@mixigaming/video/7166217363786878234?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,không biết #mixigaming,100.4K,666,1,00:07/00:19,1668683751.677034,daivt
https://www.tiktok.com/@hauhoang/video/7152451445298711835?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Xinh thế này đích thị là yêu quái,770.8K,2152,1,00:07/00:22,1668683759.6744342,daivt
https://www.tiktok.com/@5s_services_hanoi/video/7151332936539737370?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"quá ly kì, nghe nửa đêm hết nước chấm #vesinhnem #vesinhtham #vesinhcongnghiep",642K,2864,0,00:03/03:43,1668683763.6124086,daivt
https://www.tiktok.com/@thaynamlumvechai2/video/7166490324402015514?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#xuhuongtiktok,21.2K,113,0,00:02/00:07,1668683766.6138632,daivt
https://www.tiktok.com/@thuyle2000/video/7159933414097964315?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,easy game. 💪🏼❤️‍🔥,360.6K,2056,0,00:01/00:10,1668683769.2975063,daivt
https://www.tiktok.com/@caot.ri/video/7154957716304203035?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,“anh vẫn đứng đợi em và” #speedsongs_vn #lyrics #nightcore,219.4K,925,0,00:03/00:22,1668683773.254346,daivt
https://www.tiktok.com/@phamvinh99/video/7165087669888830746?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Chồng Dại Vợ Khôn : Đấm Nốt Cho Cân | #phamvinh99 #vulaci #luxsport #luxsportvietnam #vietcomedy,228.7K,1716,0,00:02/01:26,1668683776.3708491,daivt
https://www.tiktok.com/@chuniuflorentinovaiznoi/video/7164004273255091482?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,:33333#casio #anhhatde #fyp #viral #tớ_bị_flop💦 #xuhuong2022tiktok❤️🌈✔️ #bédau🍓,42.9K,721,0,00:01/00:13,1668683778.7990258,daivt
https://www.tiktok.com/@tt.tien1411/video/7160986387506924802?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Con Số ''BẤT ỔN'' #tienmoba #tientonten #tracuuthansohoc #hocsinh #eyeplusmedia,1M,4784,0,00:01/02:38,1668683781.603939,daivt
https://www.tiktok.com/@homnayangi.game/video/7166196421064969499?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Bing Chiling - bắt trend sớm nhất #Schannel luôn #🍦 #AnCungTikTok #LearnOnTikTok #game #trochoivui,202.6K,622,0,00:01/00:27,1668683784.2761655,daivt
https://www.tiktok.com/@yenkim07022004__/video/7161617854930914587?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#CapCut,236.5K,1326,1,00:05/00:15,1668683791.00018,daivt
https://www.tiktok.com/@lyly1196/video/7157605182518398235?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Cứ dính dính chùm chùm sao á ta ơi 🥲 #thattinhthuongxautinh #LyLy #AnhTu,617.2K,1869,1,00:05/00:15,1668683797.4710548,daivt
https://www.tiktok.com/@songnhi_1407/video/7163135033052630299?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Tại sao anh thay đổi ( Ig: Songnhi.1407 ) #songnhi_1407 #xuhuong #NhanVatChinh,70.8K,150,0,00:02/00:09,1668683800.4681456,daivt
https://www.tiktok.com/@xuan.hoa_0/video/7149196620075175195?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,最好的药物是忙碌；最好的医生是睡眠；最好的治愈是读书；最好的爱情是自爱。#tamtrang #nangluongtichcuc #donglucmoingay✨ #cogang #chualanh #sadwithme #fyp #xuhuong #TheMirindaEffect,191K,572,1,00:03/00:06,1668683804.7601333,daivt
https://www.tiktok.com/@laamanh2/video/7149900296280395035?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,,75.3K,664,0,00:01/00:10,1668683807.0544062,daivt
https://www.tiktok.com/@haha_412/video/7164233461757201691?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Tính debut là sao lọng cọng quá @tdat.cdn @Gia Bảo @Nguyễn Chí Phong @Nguyễn Công Tân @Tường Hồng Phú #dqn,131.9K,573,1,00:12/00:14,1668683820.6760924,daivt
https://www.tiktok.com/@n.hzanng/video/7141980859531382042?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#xyzbca #xuhuong #fyp híiiii,177.4K,683,0,00:02/00:06,1668683824.1450064,daivt
https://www.tiktok.com/@tn9201205/video/7145409779668684058?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Quá trời quá đất rồi #haikyuu,37.6K,147,0,00:02/00:08,1668683827.542084,daivt
