url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@cutrangkhonggia/video/7166596783974534443?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,cũng nói đạo lý mà nó lạ lắm 🤔 #xuhuong #cutrangkhonggia #beatoflife #rap #fyp #bingchilling,459.5K,6535,0,00:12/00:18,1668765447.7461424,daivt
https://www.tiktok.com/@be7cutequa/video/7158793721717263642?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"Buồn một chút rồi thôi, mưa nào mà hông tạnh! #tiktokgiaitri #vietcomedy #master2022bytiktok",1.3M,16.7K,0,00:10/01:24,1668765459.435889,daivt
https://www.tiktok.com/@missgrand2021.thuytien/video/7166817384580386075?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Anh Hạt Dẻ tiền truyện :))) #nguyenthucthuytien #yamaha #grande,453.9K,1569,1,00:11/00:23,1668765472.2187123,daivt
https://www.tiktok.com/@hpn._.1406/video/7156914813774400794?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#fyp,217.6K,1267,1,00:07/00:11,1668765480.4477644,daivt
https://www.tiktok.com/@duyyy.real.channel/video/7166590557802761499?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Tiktok mấy ngày gần đây kiểu #schannel #learnontiktok #bingchilling,555.3K,3101,0,00:01/01:10,1668765482.1963413,daivt
https://www.tiktok.com/@kenhtiktokf4/video/7165299259401637162?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Chuyện Lạ Trấn Long Vân #mereview #mereviewphim #reviewphim #phimhay #review,267.5K,448,0,00:01/02:35,1668765484.1894605,daivt
https://www.tiktok.com/@mnguyet408/video/7165457808433958170?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#CapCut,322K,919,1,00:07/00:18,1668765492.9908412,daivt
https://www.tiktok.com/@kieuduylong16/video/7166881905080601882?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Báoo nữaaa 🐆,292.4K,1492,0,00:02/00:15,1668765496.1966505,daivt
https://www.tiktok.com/@podaynhe/video/7153115774037593371?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,@tg xinh z tr ơiiiii #gcent,658.9K,1261,0,00:03/00:14,1668765500.6871345,daivt
https://www.tiktok.com/@duongthaooo/video/7150600017357606170?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Đà Lạt hôm nay mưa quá #duongthaooo,21.1K,176,0,00:04/00:15,1668765506.2645104,daivt
https://www.tiktok.com/@binhhine/video/7148664455449136411?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Chiếc sound đầy mùi tiền 🤑 #haihuoc #viral #tiktok #mackedoi #xuhuong #giaitri #ChatRiengAUTOP,21.3K,426,1,00:11/00:18,1668765518.2289088,daivt
https://www.tiktok.com/@hungther19/video/7166186013432253722?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"Giờ còn lại gì ngoài đôi môi, nồng nàn dịu dàng người bên ai đấy thôi #hungther #fyp #dcgr #xuhuong #trending",466.7K,13.7K,0,00:07/01:01,1668765526.590231,daivt
https://www.tiktok.com/@datdo0803/video/7158426359205874971?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Sự khác biệt giữa cậy anh và cậy chị #dotiendat,873.6K,2940,0,00:02/01:02,1668765530.4458318,daivt
https://www.tiktok.com/@halinhofficial/video/7160647046813207835?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Cơ chưởng phiên bản xốp pe… #Halloween2022 #halinhofficial #fyp #fypシ #CapCut #viral #trending #xh #xuhuong #xuhuongtiktok #viral #dance #funny #trend #cotruong #haihuoc,321.1K,2400,1,00:07/00:21,1668765538.4987385,daivt
https://www.tiktok.com/@linhmato/video/7158424763021544731?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Biết xong có yêu không v ? #hathaolinh,366K,1529,0,00:07/00:16,1668765546.4544058,daivt
https://www.tiktok.com/@lf.tlinh/video/7149946826047622426?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,bài này hayyy,582.2K,3596,0,00:02/00:27,1668765550.1145973,daivt
https://www.tiktok.com/@kimchungphan20/video/7159139022068059419?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Có lái khumm nàoo 👉🏻👈🏻,261.3K,595,1,00:13/00:15,1668765563.8722463,daivt
