url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@ngqtrng_/video/7158024310920203547?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#mariecuriehanoischool #fyp =)))))))))) anh em hội nhà báo,93.9K,529,0,00:13/00:15,1668767313.6062894,daivt
https://www.tiktok.com/@trakyhairsalongovap/video/7145677598775987482?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Trả lời @Su kiên chắc da ngăm nhuộm màu này sẽ hợp chị em lưu về nhé,19.3K,113,0,00:02/00:21,1668767317.9122996,daivt
https://www.tiktok.com/@hengg_boutique/video/7137323914744597787?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Chắc k sợ đâu 😂😂 #ma #kinhdi #xuhuong,354.6K,6239,0,00:02/00:07,1668767322.0468323,daivt
https://www.tiktok.com/@tmusic0211/video/7141991657074937130?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Dĩ vãng nhạt nhòa... #batnhipcamxuc #nhachaymoingay #tamtrang #cover #music #lyrics #divangnhatnhoa #hanhi #thaobunny #xuhuong,443.8K,571,1,00:01/00:21,1668767347.2587366,daivt
https://www.tiktok.com/@vietphuongthoa98/video/7157677718744648986?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Đu trend cũng không yên nữa à 😂,348.5K,803,1,00:07/00:33,1668767355.9710615,daivt
https://www.tiktok.com/@bethanh117_/video/7152077253491346714?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Mì tương đen này hơi daiii #keodeo #vulaci #AnCungTikTok #xuhuong,125.7K,688,0,00:00/00:29,1668767358.3552527,daivt
https://www.tiktok.com/@_ngocbaoduong/video/7150513222448123162?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Nhân 1 ngày nắng đẹp ❤️ #Master2022byTikTok #tiktokdancevn #lecirque,6732,54,0,00:01/00:15,1668767361.596266,daivt
https://www.tiktok.com/@vanlawelaxhai/video/7166937670935923970?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Quạu lắm rồi đấy :))) #welax_video #nghiaboi #amm,77.1K,1799,1,00:10/01:43,1668767373.439793,daivt
https://www.tiktok.com/@phucvinh2003/video/7155453734791826715?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"Tiền Vàng, Trên Cổ Kiềng Vàng, Xi Men 2 Bộ 😆😆😆#tpv3 #xuhuong @Phúc Vinh Nè He (Kênh Phụ)",149.9K,1110,0,00:03/00:18,1668767377.379145,daivt
https://www.tiktok.com/@charlidamelio/video/7143120977562438954?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,@Landon Barker dc @madsywadsy01,10M,56K,1,00:05/00:15,1668767385.8723285,daivt
https://www.tiktok.com/@dg_music6/video/7134669225372749099?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Bà tôi đưa tôi ra đầu làng 🎵 #xuhuong #tamtrang #buon #music #lyrics #batoi #cover #confide_one #nhachaymoingay,1.2M,7656,1,00:09/00:56,1668767397.3781073,daivt
https://www.tiktok.com/@huynhlapofficial/video/7149383371947314459?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Nó lại hợp lý… #huynhlap #mcv #yannews #oitroioi #forfunny #onhavanvui,224.1K,629,0,00:01/00:13,1668767399.8891504,daivt
