url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@lyxinhnhat/video/7153277489974889754?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Anh iu em cực 🥹✨💖 #iukiennhat,160.5K,1256,0,00:05/00:13,1668767721.475728,daivt
https://www.tiktok.com/@meosimmyyt/video/7162504867758574875?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,3 chị em siêu nhân 😂🫶,119.9K,1025,0,00:04/00:09,1668767726.5259273,daivt
https://www.tiktok.com/@thunglongfamily/video/7164758266998738202?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Vỏ quýt dày có móng tay nhọn 🍊,236.1K,490,0,00:01/01:27,1668767730.5796297,daivt
https://www.tiktok.com/@trananhthu1812/video/7146426022488050970?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,không hỗ danh Băng báo,824.9K,3904,0,00:02/00:20,1668767735.0574367,daivt
https://www.tiktok.com/@nangthoreview/video/7136737066687286555?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#gracefulfamily #xuhuong #trending #foryoupage #fypシ #jeonjinseo,1.5M,2100,0,00:01/00:28,1668767739.028533,daivt
https://www.tiktok.com/@kimchungphan20/video/7160276812877057306?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Hóng khum 🎄🫶🏻 #xh,126.4K,353,1,00:10/00:14,1668767751.5566702,daivt
https://www.tiktok.com/@phun.anh/video/7166069283498265883?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Như này có được hông zạy,130.9K,816,0,00:01/00:20,1668767754.6926112,daivt
https://www.tiktok.com/@nhat9205/video/7163980377940430106?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Và đây là kết quả 😝😝#xh #foryou #viral #trending #tiktok #fyp,185.1K,559,0,00:03/00:14,1668767760.3721092,daivt
https://www.tiktok.com/@roses_are_rosie/video/7166543469844958465?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,quick change 💋💄✨💘,3.1M,37.9K,1,00:00/00:15,1668767778.135691,daivt
https://www.tiktok.com/@missgrand2021.thuytien/video/7166515702738849051?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Hết nhiệm kì cái quậy dữ #nguyenthucthuytien #missgrandinternational #missgrandvietnam #senvangentertainment,222.5K,2336,1,00:04/00:11,1668767784.3251007,daivt
https://www.tiktok.com/@iamhenry/video/7166458022099700994?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,the ECHO in this cafe 🎤 did i surprise em?? #SoundisPower,578.2K,2694,0,00:00/00:15,1668767787.6774282,daivt
https://www.tiktok.com/@ththao.ng_/video/7143900757958462746?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Nhạc cuốn ghieeeee @Moee🐶,65.6K,209,1,00:01/00:11,1668767802.8676782,daivt
https://www.tiktok.com/@disoisaodi/video/7165102213130374402?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"Duy Thẩm sắp được gặp idol rồi, không biết lần này còn được bắt tay khum ta 🤣 #duytham #justatee #ciin #phamthoai #KOSMIK #SpaceSpeakers #amm",90.9K,99,0,00:01/00:20,1668767807.132349,daivt
https://www.tiktok.com/@h_chaukiuu/video/7162889457685892379?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,,386.2K,1757,0,00:01/00:14,1668767810.0399673,daivt
https://www.tiktok.com/@phuongngocluyen2000/video/7166958063121943834?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Sau 2 buổi học anh ta đã thành công rồi các cậu ơiiii 😵😵 10 đỉmmm #phuongngocluyen,36.7K,244,0,00:01/00:15,1668767813.7209914,daivt
https://www.tiktok.com/@cciinnn/video/7166919064428793115?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Blink đu trend =))) #Lalisa #Lisa #Blackpink,52K,311,1,00:03/00:13,1668767819.232922,daivt
https://www.tiktok.com/@5s_services_hanoi/video/7157385591095610651?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"Lòng người đáng sợ hơn bùa ngải? part 1 12h rồi, đeo tai nge max volume để nge nhé m.n 😂 #xuhuong #giattham",277.5K,1404,0,00:02/04:13,1668767824.4059982,daivt
https://www.tiktok.com/@hariwonday/video/7164603789054414106?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Như Anh Đã Mong Chờ !!!! #nhuanhdamongcho #hatiwon #kimj,323.3K,1444,0,00:00/00:27,1668767827.2390974,daivt
https://www.tiktok.com/@ngockemm/video/7158767727631535387?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Mời các hành khách lên chuyến bay 🤓,282.5K,759,1,00:03/00:15,1668767834.0221562,daivt
https://www.tiktok.com/@vanlawelaxhai/video/7137614138611698945?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Đêm gặp quả khách này thì cũng xin là xin vỉnh biệt cụ =))) #welax_video #nghiaboi,184.2K,2217,1,00:39/02:58,1668767875.4543593,daivt
https://www.tiktok.com/@podaynhe/video/7149133616533032219?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,bài này cute vảiii | dc:@Quắnn là Quânn #gcent,234.8K,357,0,00:10/00:15,1668767888.1831074,daivt
https://www.tiktok.com/@mixigaming/video/7155325893303405850?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,rapper moi moi lần đầu debut :)) #mixigaming,244.4K,820,0,00:01/00:17,1668767892.0121932,daivt
https://www.tiktok.com/@melon.228/video/7137991685044227355?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Giữa đêm gặp “biến” lớn thì phải làm sao… #vulaci #AnCungTikTok #reviewanngon #melon228,813K,5384,0,00:01/02:48,1668767895.9002507,daivt
https://www.tiktok.com/@nhnmove/video/7166898098206264603?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#1 #xuhuong #review #reviews #mereviewphim #reviewphim #phimngontinh #phimtrungquoc #daophimtrung,15.1K,80,0,00:01/09:40,1668767898.8711731,daivt
https://www.tiktok.com/@ngockemm/video/7141359546790087963?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Tui lỡ buông lời iu rồi thì đồng ý đi nào =))),148.5K,677,0,00:02/00:15,1668767903.5781395,daivt
https://www.tiktok.com/@engfa32/video/7134644960476941569?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,ติงๆๆๆๆๆๆ #อิงฟ้าวราหะ #อิงฟ้ามหาชน #อิงฟ้ามิสแกรนด์ไทยแลนด์2022,631K,3809,1,00:01/00:15,1668767921.95111,daivt
https://www.tiktok.com/@plmedia2020/video/7161407732820495642?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,"Tập 4 | Series phim: ÂM TI XÔ BỒ | Nói chữ ""Á"" thử đi các anh trai 😈 #plmedia #amtixobo #nanno #halloween2022 #phimngantiktok #fyp #haihuoc #xuhuong",390.5K,2570,0,00:10/02:39,1668767934.3974073,daivt
https://www.tiktok.com/@tiktokchikim/video/7164729051054214426?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Tập 1: chị Kim lo cho chuyện thiên hạ.,202K,2936,0,00:03/01:31,1668767938.4643905,daivt
https://www.tiktok.com/@tandat.1008/video/7140131471540489498?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Đố mấy bạn mấy giờ mình đi 🥲,1.6M,8921,0,00:01/01:10,1668767943.3027046,daivt
https://www.tiktok.com/@badbie.official/video/7166818632310230299?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Trả lời @Quyên Béo ngày xưa đi học có nick name là Tâm Mặt Mâm đó 🥲 #badbie #trend #xuhuong,29.1K,93,0,00:00/00:10,1668767945.3428633,daivt
https://www.tiktok.com/@conhokhongtrang/video/7162897584124628251?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,#hắc_hổ #eyeplusmedia #xuhuong,140.6K,2000,0,00:00/01:01,1668767948.5880804,daivt
https://www.tiktok.com/@tr.thaoanh__/video/7162059128330865946?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Thêm 1 bài siêu hot nè💥 #LeCirque #tiktokdancevn #Master2022byTikTok | dc @Minh Quang ✨ & @Quắnn là Quânn,21.4K,75,0,00:01/00:22,1668767953.2537677,daivt
https://www.tiktok.com/@ngockemm/video/7153931153521593627?is_from_webapp=1&sender_device=pc&web_id=7166593097732146690,Nhìn bẽn lẽn như đi tỏ tình thật zậy 😆😆,187.3K,763,0,00:01/00:22,1668767956.5030556,daivt
