url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@drchubbyderma/video/7174284015237696794?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Bắt gặp con em gái chuẩn bị lăn kim và cái kết. Đã làm bao nhiêu video peel như @Dr Chubby Derma mà nó nỡ lòng nào tự lăn kim #drchubbychiase #drchubbyderma #drchubby #peel #lăn_kim #mụn_lưng #medicube @DrChubby.vn,5317,102,1,00:21/02:31,1671462628.3645709,Administrator
https://www.tiktok.com/@suviet_haohung/video/7173514804018122026?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Vì sao Việt Nam bỏ phiếu chống, nghị quyết loại Nga khỏi hội đồng nhân quyền #vietnam #nga #lienhopquoc #nhanquyen #bongoaigiao #xuhuong #learnontiktok #theanh28 #lichsuvietnam",55.2K,1786,0,00:55/02:52,1671462684.6437566,Administrator
https://www.tiktok.com/@chubandaugio/video/7153487002401344795?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Đừng nói lời cay đắng #chubandaugio,8491,169,1,01:10/01:15,1671462756.2048373,Administrator
https://www.tiktok.com/@vtv24news/video/7178410123814063361?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Trong 1 thập kỷ tính tới năm 2016, có 63 giáo viên trường công ở Nhật Bản đã qua đời và được ghi nhận là do làm việc quá sức #vtv24 #vtvdigital",6134,289,1,02:04/02:53,1671462881.4525638,Administrator
https://www.tiktok.com/@thinhung99/video/7174641847543860506?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,#thinhung @Quốc Tuấn 〽️ @😋😋😋,222.8K,3786,0,00:01/00:15,1671462883.8365593,Administrator
https://www.tiktok.com/@thuphuong_1990/video/7177909450429254939?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,cũng nhịp Tym đập Chưa Kịp Nhảy Bị Bèo Gia Quậy Rồi....Xui ghê 🙃🙃🙃🙃,3998,31,0,00:00/00:15,1671462885.6765704,Administrator
https://www.tiktok.com/@quynhnaa/video/7153920077690047771?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Tại shaoooooo? 🤣,54.4K,97,0,00:06/00:09,1671462892.892911,Administrator
https://www.tiktok.com/@59.23/video/7174738002214702363?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Nếu trong túi em hong có tiền anh gì ơi anh chịu hong ❤️ #xuhuong #vnhk #83soctrang,47.8K,639,0,00:05/00:10,1671462899.5641298,Administrator
https://www.tiktok.com/@cl.living/video/7178031767536815387?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Đỉnh cao sáng tạo #clliving #clnews #celebnetwork #cltv #learnontiktok #mẹovặt,131.8K,664,0,00:01/00:42,1671462901.6761305,Administrator
https://www.tiktok.com/@caochinduoi_9/video/7178088703808589082?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,quá dữ luôn 😋,152.9K,338,0,00:02/00:15,1671462905.4526715,Administrator
https://www.tiktok.com/@chaukhadi2107/video/7178822392104389915?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Lại bày chiện cho tặng quà Noel nữa 🤣 #TikTokAwardsVN2022 #GiangSinh2022 #FootballTogether #LearnOnTikTok #ellastudy #nuochoafantasy #xitkhumuifantasy #fantasy #GocSangTao #xuhuong #foryou #muataitiktok #studywithme #diy #fypシ #handmade #foryoupage #bulletjournal #card #fyp #paper #papercraft,5778,34,0,00:10/00:46,1671462917.2608895,Administrator
https://www.tiktok.com/@xoteam/video/7177452649560820994?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Have you bought Christmas gifts yet?😍 🎁,14.4K,172,0,00:14/00:27,1671462932.9077613,Administrator
https://www.tiktok.com/@kngan_4305/video/7175742587565919515?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,hoodie zip tay phồng dưới 200 cành ✨🫶🏻 #kngan_43205 #fyp #xuhuong #viral #foryou #learnontiktok #xyzbca,455,11,0,00:10/00:28,1671462943.756653,Administrator
https://www.tiktok.com/@drchubbyderma/video/7177377075739823386?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Vì sao Chubby lại thủ 1 chai dầu bên mình vào mùa lạnh này? Nhà ai có ông bà lớn tuổi sắm 1 chai tặng ông bà nha. #drchubby #drchubbyderma #drchubbychiase #dầu_gió #dầu_gió_con_gấu #dầu_gió_nano,558,5,1,00:00/00:37,1671462982.8924782,Administrator
https://www.tiktok.com/@tt.tien1411/video/7155777381242899713?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Sinh Nhật ''BẤT ỔN'' của thầy CHỦ NHIỆM #tienmoba #tientonten #hocsinh #eyeplusmedia,946.8K,3633,0,00:03/01:22,1671462987.1646128,Administrator
https://www.tiktok.com/@tranquanghuy2303/video/7148334944631278874?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Cái tuổi chênh vênh nhất của đàn ông #tranquanghuy2303 #diligroup #vietdrama,709.6K,9967,0,00:01/02:56,1671462989.308094,Administrator
https://www.tiktok.com/@drchubbyderma/video/7169902572025761051?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Retinol có xoá sạch sẽ nếp nhăn được không? #learnontiktok #drchubbyderma #drchubby #drchubbychiase #retinol #xoá_nếp_nhăn #chống_lão_hoá #trẻ_hoá_da,171,6,0,00:11/01:29,1671463001.6125898,Administrator
https://www.tiktok.com/@haoquang.halo/video/7151713949816278298?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Nếu thầy Giang có xem được video này, thầy cho em xin gửi tới thầy lời cảm ơn chân thành nhất ạ! #haoquang #learnontiktok #xuhuong #trending #hust #food",77.6K,501,0,00:00/00:15,1671463018.939741,Administrator
https://www.tiktok.com/@drchubbyderma/video/7173122734866681114?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Nhà bán peel mà chồng Chubby dám đi mua ở ngoài? #drchubby #drchubbyderma #drchubbychiase #peel_lưng #medicube @DrChubby.vn @Dr Chubby Derma,226,12,0,00:04/01:40,1671463023.9007173,Administrator
https://www.tiktok.com/@drchubbyderma/video/7172473263728168218?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Bị mụn mà không uống gì hết có được không bác? #learnontiktok #drchubbyderma #drchubbychiase #drchubby #trịmụn #trị_mụn @DrChubby.vn @DrChubby.vn,168,7,1,00:37/00:47,1671463062.316346,Administrator
https://www.tiktok.com/@tien.tientien.tien/video/7178132476471102747?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Tiên Tiên x Darrys #NoelBietYeu Mùa đông là thời điểm để iuuu nhau, nếu có giận thì cho qua mùa đông nhé? Nhưng sang xuân là mùa xum vầy, nên có lẫy thì để mùa hè nha? Nhưng hè là mùa vui vẻ, nên nếu vẫn dỗi thì để mùa thu được chứ? Sang thu rồi chuyện cũng đã lâu, nên thôi vẫn cứ iu bình thường nha!!! iiiihiihihhiihiihhih 🤭🤭🤭 . #giangsinh2022 #nhacmoimoingay",59.1K,288,1,00:41/01:00,1671463105.212117,Administrator
https://www.tiktok.com/@hoathinhtiktok1990/video/7178443474696572206?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,#cartoon #hoathinh #thinhhanh hoạt hình,0,36,0,00:03/01:17,1671463109.3404627,Administrator
https://www.tiktok.com/@goidauduongsinh_hanoi/video/7168400093572255002?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Phải làm sao , phải làm sao đây 🥺🥺#kimloanhairsalon #kimloanacademy #goiduongsinh #daotaogoiduongsinh #đaotaogoidauduongsinh",0,4098,0,00:04/00:16,1671463114.9088478,Administrator
https://www.tiktok.com/@_hoangvii/video/7178450125201739014?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"""Chưa gì đã chảnh choẹ đi học muộn, nghỉ học nhiều"" 😅😅 mình ít có giải thích lắm, mệt ạ #dqn #baby #xh",1,235,1,00:54/01:07,1671463170.2366655,Administrator
https://www.tiktok.com/@yennoicomdien/video/7177981370130566426?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Thử thách 1 ngày chỉ toàn dầu gội khô và cái kết khó chịu 😱 #chiyennoicomdien #lapnguyen #fypシ #xuhuong #genz #4muathuongem #popsww #batiste #viral #tinhkangotngao,0,35,0,00:01/01:02,1671463173.1647267,Administrator
https://www.tiktok.com/@kimman995/video/7175913391511358746?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,,0,33.4K,0,00:03/04:55,1671463178.0277724,Administrator
https://www.tiktok.com/@thegioiphim9999/video/7178689668257484075?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Mai Hồng Vũ Bị Cấm Đi Ra Khỏi Việt Thanh. Đòi Gọi Cho G.Đốc C.an Tỉnh Và Cái Kết 🤣 #xuhuong #fyp #phimvietnam #cshs #maihongvu #sinhtu  ,0,107,0,00:04/00:46,1671463183.1317036,Administrator
https://www.tiktok.com/@phieudu.bonsai/video/7178470249648393498?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Bị xoá nên đăng lại, hi vọng là đc lên XH #bonsai #phieudubonsai #theanh28",0,101,0,00:01/00:53,1671463186.924125,Administrator
https://www.tiktok.com/@barochanel/video/7151322197875838209?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,MESSI - RONALDO đã tạo nên thanh xuân của chúng ta #bongda #messi #ronaldo #goat #cauchuyenbongda #tintucbongda #xuhuong,0,1114,0,00:02/01:23,1671463190.6689992,Administrator
https://www.tiktok.com/@tantan_ponpon/video/7160335568050605339?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,Có ai từng làm hỏng son của người yêu chưa? #tantanponpon,0,901,0,00:01/01:34,1671463194.252243,Administrator
https://www.tiktok.com/@shenziu/video/7173214665684700458?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,#mukbangeatingshow,0,667,0,00:02/01:31,1671463198.5412605,Administrator
https://www.tiktok.com/@kulzsc/video/7177331402201910534?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Ai cũng xứng đáng được yêu thương, dù người đó có hư thế nào đi chăng nữa.",14.5K,108,0,00:33/00:42,1671463235.1015575,Administrator
https://www.tiktok.com/@drchubbyderma/video/7177331542514044186?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Loại collagen dành cho người hay hỏi ""bác ơi em có uống collagen được không?"". Loại này người ăn chay dùng được, bầu dùng được, .v.v... nói chung là an toàn cho những ai muốn đẹp mà không dùng được collagen thông thường. Xem video về thời gian sử dụng collagen ở đây @Dr Chubby Derma #drchubby #drchubbyderma #drchubbychiase #collagen #collagen_chay #collagenchay",143,1,1,01:25/02:06,1671463321.0685146,Administrator
https://www.tiktok.com/@xinchaoo_vietnam/video/7178338979388083502?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Madam Bình đỉnh cao ngoại giao đàm phán🇻🇳🇻🇳         Câu nói hay nhất của Bà "" Các người có thể lên mặt trăng và có thể trở về nhưng sang Việt Nam thì chúng tôi không chắc ""          Bà là một trong những người đại diện các bên ký hiệp định Paris năm 1973 và là người phụ nữ duy nhất đặt bút ký vào Hiệp định. Bà cũng từng giữ chức vụ Phó Chủ tịch nước Cộng hòa Xã hội Chủ nghĩa Việt Nam từ 1992 đến 2002. #nguyenthibinh #ngoaigiaovietnam #lichsuvietnam #TikTokAwardsVN2022 #GiangSinh2022 #FootballTogether #viral #quandoinhandanvietnam #fypシ #xuhuongtiktok #xuhuong2022 #army #trending",12.1K,316,1,01:14/02:10,1671463396.2202017,Administrator
https://www.tiktok.com/@forlwj/video/7176636347447332123?is_from_webapp=1&sender_device=pc&web_id=7178876700570535425,"Moon Seo-yoon (2002) - thế hệ thứ 4 của gia tộc tài phiệt nhà Samsung. Bà ngoại cô được mệnh danh là ""nữ cường nhân"" Tập đoàn Shisegae khi đưa Tập đoàn này lên vị trí hàng đầu Hàn Quốc. Ngoài ra, mẹ cô đang giữ chức Phó Chủ tịch tại đây. Seo-yoon được đánh giá có gi thời trang cực sành điệu và đang theo học tại Columbia University - trường ĐH hàng đầu thế giới. #xuhuong #trending #foryou #fypシ #fyp #chaebol #richkids",42.9K,145,0,00:26/00:28,1671463423.6771793,Administrator
