url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@caocuongvu/video/7182508426809953562?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Trả lời @Amongus Nguyên tắc thao túng thầy và cấp trên 🎭 #caocuongvu #vulaci,985,19,0,00:08/00:37,1672333927.738992,ASUS
https://www.tiktok.com/@duongbaolam/video/7174734835183832347?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Tuấn bỗng đến bên Lâm,64.2K,539,0,00:04/00:16,1672333933.9464438,ASUS
https://www.tiktok.com/@luongthingocha/video/7167948842946678042?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,"Vẻ đẹp của ""đớ"" rừng Tây Bắc 🧊 Toppp 1",584.6K,,0,00:07/00:15,1672333942.754864,ASUS
https://www.tiktok.com/@doantruongthptso2bt/video/7153224050037230874?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,#Trend11A7 #xuhuong2022🍀,4840,91,0,00:00/00:05,1672333949.1297126,ASUS
https://www.tiktok.com/@hi.vungdatthuvi/video/7181767161814338817?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,"Giải mã ""chiếc thuyền bí ẩn"" trên đảo hoang🤔 #chuyenlathegioi #cothebanchuabiet #hoccungtiktok",136.2K,163,0,00:06/00:34,1672333956.482236,ASUS
https://www.tiktok.com/@grdc.channel/video/7157515102982376730?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,"Mẹo Chống Hư Hỏng iPhone khi bị VÀO NƯỚC của năm 2022, 2023 luôn! #thanhcongnghe #iphone #ios #education #yeucongnghe #grdc #xuhuongtiktok #xuhuong2022",168.7K,478,0,00:08/01:32,1672333965.4585557,ASUS
https://www.tiktok.com/@quang_nguynn/video/7161744726117338395?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Ee 4 con heo có tới trắng hong 🤣,751.9K,3820,0,00:05/00:13,1672333971.9784632,ASUS
https://www.tiktok.com/@thaisontran1616/video/7166124273361358107?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Cạch cạch🤳#thaisontran,212.5K,3133,0,00:02/00:06,1672333974.9789186,ASUS
https://www.tiktok.com/@hoangyentp/video/7181441571122859291?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Đang chụp hình Tết mà mắc nhảy ngủ mụt mình quá 🙂 #TikTokDanceVn #xuhuong,22K,89,0,00:05/00:14,1672333981.3623881,ASUS
https://www.tiktok.com/@missgrand2021.thuytien/video/7179158056670907675?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Biết Argentina không ạ? #missgrandinternational #7749HieuUng #NhanVatChinh,565.3K,,0,00:04/00:11,1672333987.0901496,ASUS
https://www.tiktok.com/@minhnghia13522/video/7179184156348370202?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Bố mẹ chăm toàn ăn với ngủ sắp lăn đc oi =))))),621.7K,2278,0,00:06/00:15,1672333994.9941907,ASUS
https://www.tiktok.com/@thinhung99/video/7182044475701693723?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,#thinhung hồi nì tóc hơi sơ nha🥹,124.3K,3190,0,00:07/00:15,1672334003.4900823,ASUS
https://www.tiktok.com/@dsnhidong/video/7181799663161412890?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Trẻ em tuổi dậy thì phải xem #songkhoe247 #wephar,135K,5188,0,00:04/00:36,1672334008.5384235,ASUS
https://www.tiktok.com/@hoangvinhhh/video/7180284854536277275?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,ông Thương đã xuất hiện ?😆,53.5K,459,0,00:01/00:28,1672334011.5941741,ASUS
https://www.tiktok.com/@hanact/video/7180809111523708187?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Đố mng biết đây là bài gì nè 💃💃💃 #vuongvan,1.5M,18.9K,0,00:01/00:31,1672334014.1540177,ASUS
https://www.tiktok.com/@drhung97/video/7179938974025256218?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Phẫu thuật chuyển giới như nào? #drtung #phauthuat,57.6K,1326,0,00:05/00:44,1672334020.443638,ASUS
https://www.tiktok.com/@rapdayne/video/7181782680256695598?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,Sóc Nâu vs gizmo#rapdayne00,451.6K,1750,0,00:03/00:47,1672334024.9225817,ASUS
https://www.tiktok.com/@huy01245/video/7174072275178720538?is_from_webapp=1&sender_device=pc&web_id=7182610794470458881,ngày 7 tháng 12 Việt Nam tận hưởng màn đêm bút chì #mandembutchi #fyp,142.4K,8096,0,00:03/00:10,1672334029.4497738,ASUS
