url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@doclabinhduong.official/video/7171739849429355802?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Thương bé, cánh tay sao mà lạ quá",920.4K,22.2K,0,00:03/00:18,1672713678.803624,MSI I5
https://www.tiktok.com/@hot.sugerbaby.girll/video/7167553983110728987?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#vitamingirl #girlxinh #viral #fyp #CuốnTừngShotHình #xuhuong,260.6K,1955,0,00:01/00:07,1672713680.809096,MSI I5
https://www.tiktok.com/@nttl812/video/7156072106244181274?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @beiucuaanh_46 cthuc chỉnh màu đây nhé mng ưiii🥰,178K,733,1,00:04/00:11,1672713686.1654215,MSI I5
https://www.tiktok.com/@nhunghy29/video/7177969135777778971?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đã bảo trái tim cùng nhau mà 😒#nhunghy29,344.7K,647,0,00:03/00:11,1672713690.8389003,MSI I5
https://www.tiktok.com/@luynh78/video/7179446468481240347?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cũng2lẻ9 mà nó lạ lắm👀 còn cc?😽#2009màhongaitin #xuhuongdimoinguoi🥺❤ #Xuhuong #khaimau,27.9K,653,1,00:04/00:11,1672713696.1861713,MSI I5
https://www.tiktok.com/@uyenmyy__/video/7182142889756069147?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cửa thang máy mà đòi cho có khoá!!! #uyenmyy #TikTokDanceVN,36.5K,150,0,00:06/00:14,1672713703.876444,MSI I5
https://www.tiktok.com/@hoangyentp/video/7181441571122859291?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đang chụp hình Tết mà mắc nhảy ngủ mụt mình quá 🙂 #fyp #mcv #TikTokDanceVn #xuhuong (tag dc pls),27.1K,115,0,00:07/00:14,1672713711.8859003,MSI I5
https://www.tiktok.com/@nbang0912/video/7162873124353084699?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Chiếc áo mặc mùa đông =))))),112.9K,603,0,00:04/00:14,1672713716.8921125,MSI I5
https://www.tiktok.com/@ducavietnam/video/7165357228982078746?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Team Thuyền trưởng nhanh như thuyền trưởng #quanglinhvlog #tiennguyen #teamchauphi #xuhuong,2947,108,1,00:04/00:10,1672713722.2421362,MSI I5
https://www.tiktok.com/@phi8523/video/7182833515120184603?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,chúc mọi người vui vẻ,6851,263,0,00:03/00:04,1672713726.906131,MSI I5
