url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@cciinnn/video/7182187450364710171?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Mời ăn ngọc trai hột xoànggg nèeee =)))) IB:@Quỳnh Thi | big love team a @Tuấn Ngọc Võ hị hị 💖😚,829.4K,3635,0,00:02/00:20,1672713731.019935,MSI I5
https://www.tiktok.com/@thinhung99/video/7182044475701693723?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#thinhung hồi nì tóc hơi sơ nha🥹,166.9K,3776,0,00:00/00:15,1672713734.0365381,MSI I5
https://www.tiktok.com/@hanact/video/7180809111523708187?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đố mng biết đây là bài gì nè 💃💃💃 #hanacamtien #TVk #vuongvan,1.6M,20.5K,1,00:03/00:31,1672713738.3838053,MSI I5
https://www.tiktok.com/@kieutrang_185/video/7161661571855289626?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Ngày 20/11 sắp tới các cậu múa bài gì vậy , cho mik bt đc ko #xuhuong #Nguyenthitheu #hoahong #AnCungTikTok",119.9K,18.1K,0,00:00/00:12,1672713740.0541706,MSI I5
https://www.tiktok.com/@tintrinh247/video/7184074669840977178?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"EM SẮP ĐƯỢC VỀ TRONG VÒNG TAY BỐ MẸ RỒI Lực lượng cứu nạn đã huy động 2 cần cẩu, 4 máy đào, 5 xà lan, 1 dàn cọc khoan nhồi, 1 thiết bị xói hút bùn, 2 giàn khoan guồng xoắn, 2 giàn khoan địa chất và các máy móc phụ trợ khác. Đã tập kết thêm ống vách đường kính lớn để phối hợp thực hiện với giàn khoan. Các đơn vị liên quan đã làm xuyên suốt 24/24, đã huy động mọi lực lượng hiện có trên địa bàn. Đến nay thiết bị ứng cứu đã được huy động khá đầy đủ phục vụ công tác cứu nạn để tiến hành các giải pháp giải cứu cháu bé.#tintuc #tintrinh247 #tintuc24h",8776,407,1,00:03/00:08,1672713744.4011352,MSI I5
https://www.tiktok.com/@quanglinhvlog.official1/video/7183925742303055150?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Replying to @Fc Vương Tubi 48h đã trôi qua mong em bình an#mongembinhan #nammoadidaphat #fyp #xuhuong,14.8K,2311,1,00:04/00:37,1672713749.402863,MSI I5
https://www.tiktok.com/@huywnnn204/video/7183656959130881306?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Ngại quá 🥹,656.3K,1679,0,00:06/00:11,1672713757.0894034,MSI I5
https://www.tiktok.com/@ngophungkimngan/video/7178449983090265370?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Ai biết ông Thương ko ?? 🤔#ninhngan #xuhuong,309.7K,1860,0,00:04/00:11,1672713762.0949485,MSI I5
https://www.tiktok.com/@kevhlubtsismua673/video/7152079057885154586?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @hlublinpausuav064,4801,190,0,00:06/00:17,1672713769.1232188,MSI I5
https://www.tiktok.com/@leviiii_13/video/7182777798702992667?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Bây giờ mỗi lần đi đâu chỉ muốn mặc đồ của brand mình thui á, mà thật mặc cái này cảm giác tự tin x1038393 muahaha",13.2K,52,1,00:03/00:13,1672713773.4869673,MSI I5
