url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@minhanh231997/video/7183906187602332954?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đến đây thì có lẽ mọi thứ đã kết thúc rồi💔#new #giaicuu #betrai10tuoi,145.8K,5271,0,00:07/00:14,1672713822.5114639,MSI I5
https://www.tiktok.com/@nhungchuday/video/7157285138743692570?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lòng xào dưa 🔥🔥🔥,56.4K,3782,0,00:04/00:07,1672713827.5145931,MSI I5
https://www.tiktok.com/@lanlanhlungg/video/7165419847726140698?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Có rất nhiều vụ TNGT vì những chiếc váy chống nắng. Ce pn nên cẩn thận #quanglinhvlog #tranphivu #báo,6321,122,0,00:02/00:04,1672713835.5277822,MSI I5
https://www.tiktok.com/@anmie2311/video/7178030765593120046?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#TikTokAwardsVN2022 #mỗi người mỗi nghề#,377.2K,3522,1,00:02/00:07,1672713838.9039345,MSI I5
https://www.tiktok.com/@userxgcmjw23ra/video/7156946280907033882?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,😨😨😰😰😨,14.8K,406,0,00:02/00:06,1672713842.547046,MSI I5
https://www.tiktok.com/@manhsadtik/video/7176885624161504554?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,vào nhận nè #love #quanhedoitactraphi💞 #lyrics #xh #tamtrang,266.8K,10.9K,0,00:03/00:07,1672713846.559382,MSI I5
https://www.tiktok.com/@phuoq089204/video/7184028714651471130?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @maivinhky chạy đi ngại chi #lamnamphuong #giồngriềng #68,8874,155,0,00:01/00:13,1672713848.5745733,MSI I5
https://www.tiktok.com/@fbsangnguyen63/video/7183937228463295770?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Làm gì cho ngầu giờ 🤣🤣,125.2K,1248,1,00:01/00:12,1672713850.9388754,MSI I5
https://www.tiktok.com/@05yayis22/video/7158260065869237509?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#parati #bailandoconmiflaco 🤍,49.6K,0,0,00:03/00:14,1672713855.6062675,MSI I5
https://www.tiktok.com/@twice_tiktok_official/video/7157947199991663874?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,3-2-1 ! Emm-Muuahh😘❤ #muuahh #TWICE #트와이스 #JEONGYEON #SANA #정연 #사나,2M,18.6K,1,00:03/00:10,1672713859.9623876,MSI I5
