url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@thao1470/video/7157656352108580122?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Bà ngoại cũng biến hình nè👉👈 #bangoai #trending #xunhuongtiktok #love,368.9K,1968,1,00:03/00:12,1672713864.0836174,MSI I5
https://www.tiktok.com/@thaotho38d1/video/7183512047450180890?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Nguyễn huệ đêm qua #2023 #hcm,357K,4482,1,00:01/00:18,1672713866.1174715,MSI I5
https://www.tiktok.com/@subinpandey46/video/7182886930999250203?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#😂🤣😜 #foryou #foryoupage #fyppppppppppppppppppppppp #fyp,182.5K,2107,0,00:01/00:05,1672713868.7589092,MSI I5
https://www.tiktok.com/@kenh14official/video/7183992632480140571?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Nghe tin con trai gặp nạn, anh Thái Văn Tấn Tài, cùng người thân đã túc trực ở hiện trường chờ đợi suốt ngày đêm. #betrairoixuongtrubetong #tiktoknews #hot #amm",57.3K,722,0,00:04/00:25,1672713873.7742383,MSI I5
https://www.tiktok.com/@shop_lily88/video/7182403002701974785?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#mónngonmỗingày #ănngon #xuhuongtiktok,121K,787,0,00:07/00:42,1672713882.781733,MSI I5
https://www.tiktok.com/@xu_shinran/video/7161649250940554523?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,vì phạm cộng đồng nên đăng lại#cloud_team🌥🌈 #otp_shinran💞✨ #xhtiktok #meme #xh #meme #xhtiktok,62.7K,10.2K,0,00:03/00:06,1672713886.7908323,MSI I5
https://www.tiktok.com/@tinhyeulagico_/video/7173200411304725786?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Up story 💕#tinhyeulagico_ #xuhuongtiktok,213.3K,2185,0,00:04/00:10,1672713891.7998557,MSI I5
https://www.tiktok.com/@huy01245/video/7174072275178720538?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,ngày 7 tháng 12 Việt Nam tận hưởng màn đêm bút chì #xuhuong #mandembutchi #fyp,150.7K,8681,0,00:03/00:10,1672713896.8055756,MSI I5
https://www.tiktok.com/@user904906428419/video/7170578986530114842?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cao tốc Nội bài Lào Cai km129 chia buồn tài sế xe khách,13.4K,476,0,00:02/00:19,1672713899.8149204,MSI I5
https://www.tiktok.com/@iuhanhh_08/video/7183312060447509786?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,lưu😚💞 #huunam_08 #xuhuong #quanhedoitactraphi💞 #fyp,78.7K,1567,0,00:08/00:11,1672713908.822875,MSI I5
