url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@afamilyshowbiz/video/7152722912942787841?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Con gái nuôi của ""dì Dung"" liệu có là Hoa hậu tương lai? #phamkimdung #batrumhoahau #lehuynhbaongoc #ssst #amm",529.6K,2287,1,00:04/00:42,1672715336.1809874,MSI I5
https://www.tiktok.com/@iam.uyen/video/7174346546216062235?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,chiếc khẩu trang giúp bạn hack nhan sắc#outfit #khautrangbienhinh #xuhuong2022 #learnontiktok,26.3K,301,0,00:03/00:08,1672715340.8037083,MSI I5
https://www.tiktok.com/@banhmy.phomai/video/7183172501092961563?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Mời cả nhà xuống ăn cơm nào 😀 #TetMirindaTetcuoithaga #affcup2022 #ThuThachMuaBongLan #AnCungTikTok #fyp,180.5K,1240,0,00:01/00:22,1672715342.8082135,MSI I5
https://www.tiktok.com/@gtuo925/video/7183959129680039194?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Có ai test thử chưa nè 🤣 #gtuo #guotuocul #tiktok,14K,74,0,00:02/01:11,1672715345.8134882,MSI I5
https://www.tiktok.com/@lungocvi.17/video/7183183796064521499?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đỗ Duy Mạnh - Hậu Vệ được ví như Vidic của Đội Tuyển Việt Nam 🔥👿#affcup2022 #xuhuong #CapCut #doduymanh,228.5K,415,0,00:01/00:59,1672715347.8279166,MSI I5
https://www.tiktok.com/@vuagau12/video/7183668644562521390?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Rồi xong a trai #gaixinh #xuhuong #vacaiket,3238,17,0,00:10/00:11,1672715358.853355,MSI I5
https://www.tiktok.com/@trandoanthuytien/video/7153501527812951322?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cảm ơn anh thợ mỏ đã rời xa em lúc gầy xấu nhất giúp em có động lực thay đổi. Rồi anh sẽ hối hận. Lan toả động lực tăng cân cho mn #tangcan #xuhuong,119.3K,1588,1,00:02/00:19,1672715362.2433443,MSI I5
https://www.tiktok.com/@kdrama.vn/video/7183309161323580698?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,😲 #xuhuong #kdrama #xh #island #islandkdrama #leedahee #phimhay #phimhaymoingay #phimhanquoc #kdramavn #fyp #foryou,299.8K,4134,1,00:05/00:45,1672715368.886915,MSI I5
https://www.tiktok.com/@lalahuynh92/video/7176621811747032362?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#xuhuong #tiktok #trending,29.6K,62,0,00:04/00:06,1672715373.8944507,MSI I5
https://www.tiktok.com/@phminhthien/video/7183301348371254554?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Countdown bất ổn #tiger2023,118.7K,16.3K,0,00:01/00:22,1672715375.8987577,MSI I5
https://www.tiktok.com/@m6clothing/video/7159832842145516827?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Kẹp tóc kiểu này xinh ghê 😍#learnontiktok #beautyhacks #hairtips,270.9K,720,0,00:04/00:07,1672715380.9094236,MSI I5
