url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@_dieulinh16_/video/7179818563648179483?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,c-cũm dth =))),340.5K,1075,0,00:03/00:15,1672715445.2033384,MSI I5
https://www.tiktok.com/@cciinnn/video/7175760754287578395?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @Tan.z💗🧸 mình hát nhép còn các ac hát thiệt 😆😆😚😚,6.2M,6732,0,00:03/00:53,1672715449.2104864,MSI I5
https://www.tiktok.com/@150k_freeship/video/7172007279397522714?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Gọi là đú trend đồ đó, tí nữa gỡ:))#trend #xuhuong #fyp",23.6K,373,0,00:03/00:10,1672715453.2151403,MSI I5
https://www.tiktok.com/@tt.tien1411/video/7155777381242899713?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Sinh Nhật ''BẤT ỔN'' của thầy CHỦ NHIỆM #tienmoba #tientonten #hocsinh #eyeplusmedia,997.3K,3798,0,00:10/01:22,1672715464.2369418,MSI I5
https://www.tiktok.com/@cohangtamlinh/video/7176481201039920411?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,đg xem mà cũng quay🌚#xuhuong,106.9K,637,0,00:07/00:08,1672715472.245345,MSI I5
https://www.tiktok.com/@kun1266/video/7173494188950998299?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#kun1267 #meme #xuhuong #memes,122.2K,1271,0,00:03/00:06,1672715476.2545848,MSI I5
https://www.tiktok.com/@lythehuong/video/7183334440192560411?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cùng xem lại điều ý nghĩa nhất Hương làm được trong năm 2023 nha #lythehuong #AnCungTikTok #TetMaiMan #learnontiktok #TikTokDieuKy,195K,565,1,00:03/00:18,1672715480.6453505,MSI I5
https://www.tiktok.com/@duongtu.611/video/7183553366822358299?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,CL đã hạ cánh xuống Việt Nam ở thành phố HCM. #cl,248.7K,1636,1,00:02/00:15,1672715483.6688952,MSI I5
https://www.tiktok.com/@vtvcab.on/video/7179889383535906049?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,May mà nhà có cam không thì lại... #vtvcab #vtvcabon #tiktoknews,41.1K,419,0,00:09/00:14,1672715494.3057046,MSI I5
https://www.tiktok.com/@chamsocxehoi.vn/video/7154667285267926298?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Có Nên Cho Bác Tài 1 ❤️ Với Pha Xử Lý Này??? #xuhuong #tinhhuong #Master2022byTikTok,90.4K,3489,0,00:04/00:06,1672715499.3094268,MSI I5
https://www.tiktok.com/@_m.loann/video/7164451473621896475?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trời đất ơi 🫶🏻 sao mà đáng iu quá z #nguyenviethoang #mono #lazada1111 #lazadasupershow #viral #fypシ #mononguyenviethoang,747.4K,4468,0,00:00/00:08,1672715501.3241138,MSI I5
https://www.tiktok.com/@vu__adn/video/7155844783242579226?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Kk báo nữa rồi ae #xuhuong #sponsored #danang,35.1K,240,0,00:00/00:10,1672715512.8643956,MSI I5
https://www.tiktok.com/@xontheboys/video/7151614275235171610?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,zdo box thì kb fb mình để tiểu sử #xh #ngaythangnamsinh🐸💍 #fyb #viral,52K,15.7K,0,00:02/00:06,1672715516.3601363,MSI I5
https://www.tiktok.com/@dinhphatmakeup/video/7182836424087964955?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lần sau cuối xin anh thứ tha 💄#fyp #makeup #xuhuongtiktok #xuhuong2022 #viral,100.9K,260,0,00:02/00:11,1672715519.3691182,MSI I5
https://www.tiktok.com/@tien__bo198x/video/7163203492931308827?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,vì đời vất vả. anh ấy dừng xe kiểu gì nhỉ #xuhuong #vatva #anhay,18K,456,0,00:00/00:10,1672715521.3793664,MSI I5
https://www.tiktok.com/@dinhphatmakeup/video/7181007055237467419?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Thêm một lần nữa yêu 💄#fyp #makeup #xuhuongtiktok #xuhuong2022 #viral,482.3K,4340,0,00:04/00:11,1672715526.3878808,MSI I5
https://www.tiktok.com/@yeah1.trending/video/7182877859680144642?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Dân Bách Khoa nhưng lại phải dọn nhà #yeah1digital #yeah1trending #yeah1 #tiktoknews #onhaxemtin #tet,104.5K,2646,0,00:04/00:26,1672715531.3903754,MSI I5
https://www.tiktok.com/@thao_.02/video/7173284973615615258?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,,25.4K,738,0,00:08/00:10,1672715540.4219878,MSI I5
https://www.tiktok.com/@_dinhbang_/video/7183507301129669915?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Mình về bên nhau Giựt 😁😁 #cover #lyrics #remix #happynewyear #_dinhbang_ #xh,136.4K,3860,0,00:08/00:14,1672715549.4459252,MSI I5
https://www.tiktok.com/@thu.huyen15/video/7168742451690310958?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#gaixinh #xuhuong #fyp #foryou,283.8K,1163,1,00:01/00:11,1672715551.8584297,MSI I5
https://www.tiktok.com/@cobexinhdep999/video/7156528369704783131?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,🫤 #xh #tinhyeu #fyp,242.9K,1752,1,00:02/00:14,1672715554.8601532,MSI I5
https://www.tiktok.com/@ngocmai86833/video/7160142206546791706?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,,13.6K,52,0,00:01/00:07,1672715557.4853635,MSI I5
https://www.tiktok.com/@chubba.chip/video/7183294903378644250?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,thích up 2 vid zì xinhh // IG: _bonniechips,172.1K,894,0,00:01/00:15,1672715559.4948041,MSI I5
https://www.tiktok.com/@termtem899/video/7165723294426189102?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#fyp #xuhuong #meme #quanh🌱,48K,20.4K,0,00:02/00:06,1672715563.5058846,MSI I5
