url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@buanaodian/video/7175063879259606299?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Bảo đảm ăn là ghiền #Master2022byTikTok #tiktokawards2022 #AnCungTikTok #LearnOnTikTok #ReviewAnNgon #MCV #xuhuong #foryou #review #saigon #fyp #banhmi,26K,457,1,00:18/00:28,1672718135.761538,MSI I5
https://www.tiktok.com/@thinhqn2001/video/7182727539650202926?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đến ngay cả một con ếch mà #neymar cũng không tha cho nữa 😆 #futbol_team🔥 #funny #xuhuong #affcup2022,137.4K,400,1,00:02/00:22,1672718139.077099,MSI I5
https://www.tiktok.com/@10kxoatiktok/video/7172406639167835434?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#xuhuongtiktok,121.8K,155.6K,0,00:09/00:15,1672718149.7841487,MSI I5
https://www.tiktok.com/@cuiling02/video/7152173658256067866?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Buồn buồn mở camera ở nhà lên xem, tưởng cute mà ai dè thấy 2 ông tướng đấm nhau buồn cười k chịu đc 😂😂😂😂 #Master2022byTikTok",568.8K,3003,0,00:04/00:28,1672718154.7926745,MSI I5
https://www.tiktok.com/@afamilyshowbiz/video/7167170692981574914?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trần Thanh Tâm gặp Cô gái có râu để giải quyết vụ bị chê ở phố đi bộ? #tranthanhtam #cogaicorau #afamilyshowbiz #ssst #amm,58.2K,863,0,00:03/00:35,1672718158.8025627,MSI I5
https://www.tiktok.com/@h_m_i_n/video/7183192354453589274?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Sợ nhưng cuốnn nhé, diễn viên đỉnh #island #phimmoi #chaeunwoo",60.1K,1198,0,00:03/00:26,1672718162.8055773,MSI I5
https://www.tiktok.com/@animetiktok12123/video/7176228023082110254?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Hậu Trường Phim Trung Quốc #hautruong #hautruongphim #1 #xuhuong #khophimngontinh #phimngontinh #mereviewphim #phimtrungquoc #fyp #fyp > #foryou #reviewphim #reviewphimhay #ongtrumphimd,215.3K,1253,0,00:01/00:17,1672718164.8143184,MSI I5
https://www.tiktok.com/@ptd4724/video/7153239535462223131?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cho anh mượn đất anh trồng củ khoai,71.9K,1851,0,00:06/00:13,1672718171.8264782,MSI I5
https://www.tiktok.com/@nhube23/video/7172137659991805210?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trước sau gì cũng chớt 😅😅😅,21.7K,200,1,00:03/00:15,1672718176.168094,MSI I5
https://www.tiktok.com/@quynhnga.dmaya/video/7168470620684979482?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @thaodung19971990 chiêc em bé đáng yêu khỏe mạnh trong bụng mẹ #embe #thainhi #mangthai #khoemanh #thaikikhoemanhchomebau #xuhuong #learnontiktok #drmaya #quynhnga,28K,523,1,00:04/00:09,1672718181.1658072,MSI I5
https://www.tiktok.com/@kimanh_546/video/7182210676876659994?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Liệu trend này ciin có vượt qua dc quỳnh thi không..?#xuhuong #trending #ciin #quynhthi #fyp #xuhuong2022,263.3K,4392,1,00:03/00:20,1672718185.2003636,MSI I5
https://www.tiktok.com/@idtop81/video/7179899989462732059?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,vô làm quen cái,4030,108,0,00:03/00:15,1672718189.8770998,MSI I5
