url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@viviha.ng/video/7184084499645402394?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,2023 cùng cháy hơn nhé !,1734,36,0,00:00/00:08,1672720882.1960058,Administrator
https://www.tiktok.com/@suckhoedoisong.vn/video/7179159898305858842?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Thót tim màn giải cứu bé gái dưới hố sâu của Cảnh sát PCCC #suckhoedoisong #giaicuu #begai #canhsat #pccc #mangiaicuu #thottim #,369.8K,19.2K,0,00:02/04:10,1672720884.7472563,Administrator
https://www.tiktok.com/@missoutlove01/video/7179992871112592666?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,nhac nay cung h.ư 🌚,240.7K,570,1,00:09/00:14,1672720894.7595255,Administrator
https://www.tiktok.com/@cciinnn/video/7183312464510078234?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Cảm ơn và bái bai 2022 🫶🏻💖🥰,92.5K,799,0,00:08/00:15,1672720903.7742934,Administrator
https://www.tiktok.com/@phamquynhhoaa/video/7183989039219952923?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Đợi hết trend mới đu là sao z chị trẻ ơii 😀 @NOWSAIGON #NOWSG #nowsaigon,14K,56,0,00:01/00:17,1672720905.776226,Administrator
https://www.tiktok.com/@utnhi_mino_official/video/7162888801302465818?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Hẹn gập lại Phú Quốc #utnhi_mino_official #popsww #cuoihongchotnha #xuhuong,39.1K,198,1,00:02/00:09,1672720909.13472,Administrator
https://www.tiktok.com/@user9687954887386/video/7180918181823876398?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,,14.3K,112,0,00:02/01:29,1672720912.7879498,Administrator
https://www.tiktok.com/@tuanhgaming/video/7178052171953442050?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Trả lời @Tú Anh nè Các bạn đã sở hữu trang phục free trong sự kiện Lễ Hội Tuyết chưa ? #freefire #gaming #SoiTuyetFreeFire #FFWinterlands #bacthayedit #theanh28 #tuanhgaming #tiktokgaming,10.3K,176,0,00:03/00:56,1672720916.7904692,Administrator
https://www.tiktok.com/@meosimmyyt/video/7176968373866171674?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Người chơi trend muộn nhất là đây 😆 😆 xin cảm ơn @Rex Nè ! @Gia Phúc @Trương Minh Huy @Hồng Phạm nhiều ạ IB:@Quỳnh Thi #makeyoulook #meosimmy #heroteam,449.3K,9678,0,00:04/00:28,1672720921.8047187,Administrator
https://www.tiktok.com/@hauhoang/video/7180325686865939739?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Kakakaka nhảy cùng FécNanĐô TôChâu 😀,196.4K,331,0,00:04/00:20,1672720926.8089123,Administrator
https://www.tiktok.com/@homm9k/video/7163242546775264517?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,follow my instagram: hommm9k 💖.,567.9K,3964,1,00:02/00:08,1672720930.1756198,Administrator
https://www.tiktok.com/@kimanh_546/video/7182210676876659994?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Liệu trend này ciin có vượt qua dc quỳnh thi không..?#xuhuong #trending #ciin #quynhthi #fyp #xuhuong2022,263.3K,4395,1,00:04/00:20,1672720935.2304294,Administrator
https://www.tiktok.com/@mr.quangsang/video/7153998069728857390?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,#cat #cute #xuhuong #đongvat,47.4K,618,1,00:04/00:08,1672720940.203219,Administrator
https://www.tiktok.com/@hoanglong.socnau/video/7183941431428484379?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Trả lời @huyff Năm mới nhiều nhãn hàng chú ý kkk #SócNâu,212.5K,1633,1,00:11/00:53,1672720952.8571172,Administrator
https://www.tiktok.com/@thuocgachoiuuviet/video/7161967468037016859?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,Công Ty Ưu Việt đã tìm ra phương pháp chữa dứt điểm bệnh Nấm Họng - Đẹn Họng #Thuocgachoiuuviet,83.3K,293,0,00:03/00:12,1672720956.8661013,Administrator
https://www.tiktok.com/@mukbanggongsam/video/7162896048581545243?is_from_webapp=1&sender_device=pc&web_id=7184275321860081153,ASMR EATING FOOD PART 1 #gongsam #mukbanggongsam #asmr #mukbang #asmrfood #fypシ゚viral #mukbangvideo #mukbangeatingshow #mukbangasmr #pageforyou #mukbangkorean #koreanfood #foryoupage #eatingshow #foryou #foodie #noodles #eatingasmr,439.8K,1668,0,00:01/01:39,1672720958.8724465,Administrator
