url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@ngocmai83866/video/7153489920890408219?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,,12.6K,101,0,00:03/00:08,1672722377.8940034,MSI I5
https://www.tiktok.com/@a3thosaigon/video/7150889692354071835?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lên màu hồng cho các chị em đây ….. #xuhuong #xuhuongtiktok #Master2022byTikTok #dcgr #fabonguyen #gaubearbrick #bearbrick #phamthoai #dochoilaprap #dochoithongminh #dochoitritue #decor,10.9K,216,0,00:04/00:13,1672722382.9050674,MSI I5
https://www.tiktok.com/@drson91/video/7170660347634912539?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đừng làm điều này ❌ Thay vào đó hãy thử làm theo Sơn nhé ✅ Thả ♥️ nếu điều này giúp ích cho bạn 🥰🥰 #FootballTogether #drson #theanh28 #IChooseLays #DoiDoiThiAnNgay #tiktok #on #lkbfam,55.7K,261,1,00:08/00:11,1672722391.9310143,MSI I5
https://www.tiktok.com/@achannel_16/video/7183959873279806721?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Xót xa hiện trường bé trai 10 tuổi rơi xuống trụ bê tông 35m #betraidongthap #achannel16 #amm #ssst,159,2,1,00:02/01:00,1672722395.4425461,MSI I5
https://www.tiktok.com/@dieulinh2k36/video/7183702689585515822?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Video toàn cảnh cậu bẹ bị rơi tròng trụ vê tông sâu 35m #cầu_mong #may_mắn🍀🥰 #nammoadidaphat,29K,2957,1,00:05/00:52,1672722505.098038,MSI I5
https://www.tiktok.com/@votuongvy1196/video/7183533213682257178?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,ĐỨA NÀO ĐỨA NẤY CÁI BỤNG Ú NU Ú NẦN LUÔN 🤣🤣 #votuongvy1196 #goldfish_tuongvy🐠 #cavangvietnam #goldfish #ranchu #oranda #yuanbaogoldfish #ruykin #petsoftiktok #pets #xuhuongtiktok #trending,4951,47,1,00:02/01:38,1672722617.1033015,MSI I5
https://www.tiktok.com/@tsimuabtushlubna/video/7180928683677338907?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @user3357704260885 #MovanCungOreo #GiangSinh2022 #xuhuongtiktok,9181,111,1,00:03/00:23,1672722620.9675853,MSI I5
https://www.tiktok.com/@phanvanminh_/video/7161339777751551259?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cái gì vậy má🤣🤣🤣🤣@Võ Thị Diễm Hằng,425.2K,860,0,00:00/00:12,1672722622.4413707,MSI I5
https://www.tiktok.com/@toan0901xxx/video/7154252971713236251?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Uy tín là Vàng..🤩 Bạn tuổi 1995 —-> 2k6 đam mê Kdoanh..💯 Ưu tiên những bạn muốn kiếm thêm lúc rảnh..😍 Thu nhập 2 - 300k / ngày 💰 Người thật , việc thật, không đa cấp..💥 Thiện chí nt Toàn hỗ trợ nha..☎️ #toanperfumeoil #ldgroup",16.6K,580,0,00:04/00:14,1672722627.4558718,MSI I5
https://www.tiktok.com/@chuyensilepodgiare_q7/video/7182896117250641179?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#CapCut #xuhuong #podhut1lan nhỏ gọn lắm nè 🥰 kèm dây 💨 Milk,71.1K,1043,0,00:02/00:10,1672722630.4669235,MSI I5
https://www.tiktok.com/@cl.living/video/7182520793195121947?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Hay zữ chời #clliving #cltv #clnews #celebnetwork #learnontiktok #mẹovặt,36.5K,243,1,00:03/00:32,1672722634.9997075,MSI I5
https://www.tiktok.com/@alobacsi.com/video/7184097574125686018?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,SỬ DỤNG MÁY DÒ THÂN NHIỆT TRONG ĐÊM THỨ 3 CỨU HỘ CHÁU BÉ Ở ĐỒNG THÁP #alobacsinews #tiktoknews #songkhoe247 #behaonam,58.9K,1257,1,00:03/00:57,1672722639.1037152,MSI I5
https://www.tiktok.com/@lehao1128/video/7159144244756729114?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Cha dặn nuôi kĩ để mai nhậu mà mê quay tóp tóp ❤️ cho tui đỡ buồn đi 🥰 #xuhuong #vnhk,218.4K,2275,0,00:01/00:10,1672722641.4892056,MSI I5
https://www.tiktok.com/@hoangminhngoc21/video/7183544160199167258?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lần đầu mặc theo filter mà bất ngờ phết #minhngocbeauty #vulaci #reviewlamdep #goclamdep,201.6K,157,0,00:02/00:29,1672722645.4975255,MSI I5
https://www.tiktok.com/@alominjne/video/7160355834273238298?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Việt Nam mình thiếu nhạc thiếu nhi thật sự ! Nhạc thì hay đấy nhưng hát k đúng chổ rồi… #nhacnhunhac #emlanhatmientay #volemi #nhachaymoingay #xuhuong,427.5K,7480,1,00:03/00:13,1672722650.046408,MSI I5
