url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@trinhle1707/video/7174363935330569499?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Non và xanh lắm,291.2K,668,0,00:04/01:06,1672722895.406688,MSI I5
https://www.tiktok.com/@chuyensex18/video/7154742370452376858?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,đúng không các anh#eva,292.8K,6259,0,00:02/00:16,1672722899.4228015,MSI I5
https://www.tiktok.com/@hot.sugerbaby.girll/video/7155888114299391258?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#xuhuong #xuhuongtiktok2022 #vitamingirl #girlxinh #viral #fyp,10.8K,23,0,00:00/00:07,1672722901.4305089,MSI I5
https://www.tiktok.com/@tiin.vn/video/7182088262201167105?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Tổng hợp những ngôi nhà bị rung chuyển cực mạnh do vụ nổ kinh hoàng ở Hồ Tùng Mậu, Hà Nội #tiinnews #hanoi #hotungmau",779.5K,10K,0,00:04/00:39,1672722907.4493976,MSI I5
https://www.tiktok.com/@huy5628/video/7181379694988709147?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Mục tiêu của mọi người sau rồi ?? P2 @Tea My,237.9K,944,0,00:03/00:37,1672722911.452995,MSI I5
https://www.tiktok.com/@kenh14specialvn/video/7183323007534894363?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Học sinh MONO trả bài cho thầy Bin Yet 😂😂 #MONO #featuredtalk #dustinonthego #binyet #dancechallenge #amm #xuhuong #fyp,71.2K,223,0,00:02/00:14,1672722915.4596987,MSI I5
https://www.tiktok.com/@giacnhien95/video/7151213573325196570?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,8 hành vi làm mất phước báu! #phatphapnhiemmau #phậttạitâm #phatphap #phatgiao #adidaphat #daophat,43.1K,1422,0,00:03/00:21,1672722920.4611347,MSI I5
https://www.tiktok.com/@buonx2000h/video/7176212793044045083?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Up str💕#xuhuongtiktok #binhhconn🧸 #stttamtrang #love #xuhuong,161.7K,3151,0,00:11/00:13,1672722933.4732838,MSI I5
https://www.tiktok.com/@syha678/video/7179240185228561691?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,😂😂😂,198.2K,2808,1,00:03/00:38,1672722938.0691688,MSI I5
https://www.tiktok.com/@10kxoatiktok/video/7172045169276013866?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#xuhuongtiktok,44.9K,72.9K,0,00:00/00:15,1672722939.4905045,MSI I5
