url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@trandinhthanhmai/video/7155849817472699674?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Ma: Moẹ m,40.1K,0,0,00:00/00:06,1672723147.2414012,MSI I5
https://www.tiktok.com/@linhnhu23010711/video/7151600652559437083?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Năm giỗ đầu tiên.của ngoại con không về được có phải ngoại không đậu ngoài x.ngoài vào tay con 😍😌Nhớ bà.nhiều lắm,23.8K,95,0,00:02/00:07,1672723150.2571762,MSI I5
https://www.tiktok.com/@toan0901xxx/video/7151743220656000283?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Tài không độ tuổi..💥 Tuổi 1995 : 1996 đến tuổi 2k5 : 2k6..💯 Tham gia đội mình..🙆‍♀️ Giúp có thu nhập 10 - 15tr mỗi tháng 💰💰 Bạn quan tâm C.v liên hệ mình giúp..☎️ #toanperfumeoil #ldgroup,8926,242,0,00:03/00:13,1672723155.2688665,MSI I5
https://www.tiktok.com/@giahan2kx/video/7175332441668750635?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Pha sang đường đi vào lòng người #gaixinh #gaixinhtiktok #viral #fyp #hotgirl #xuhuongtiktok,38K,48,0,00:01/00:06,1672723157.2770996,MSI I5
https://www.tiktok.com/@pitrancy1/video/7182536134432492826?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Mong em đừng khók,89.6K,128,0,00:01/00:07,1672723159.2873614,MSI I5
https://www.tiktok.com/@hoaminzy_hoadambut/video/7171798582239022362?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đặt vào trong mình một chiếc gương là sao vậy a @tangphuc 😄😄😄 #hoaminzy,380.4K,1668,1,00:08/00:26,1672723169.3157265,MSI I5
https://www.tiktok.com/@sad12106/video/7183609791728717083?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Bạn còn yêu người mà bạn gặp năm 2022 ko??#xh #sadstory #xuhuong,68.5K,4162,0,00:02/00:10,1672723173.3268595,MSI I5
https://www.tiktok.com/@toncuteeee/video/7178331006812835098?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Idol Cup sáng nay thất thủ #đà_nẵng #đèohảivân #xuhuong,8435,56,0,00:02/00:07,1672723176.3277264,MSI I5
https://www.tiktok.com/@lovestory_111x/video/7172815843607203099?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,,240K,560,1,00:03/00:11,1672723180.9770832,MSI I5
https://www.tiktok.com/@theanh28entertainment/video/7151815330111753474?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,PHẦN 1: XÓT XA 2 CHA CON Ở LÀO CAI TRÙNG TANG ĐẦY THƯƠNG TÂM… #theanh28news #tiktoknews #theanh28,720.1K,4487,0,00:06/01:02,1672723189.3407984,MSI I5
https://www.tiktok.com/@peacehung/video/7183163207790365979?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @puprac,1331,30,0,00:01/00:07,1672723192.3540518,MSI I5
https://www.tiktok.com/@lethithan.93/video/7164964383037115675?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Con phải có tấm lòng Hướng Thiện thì Thầy mới Cứu được con…#lethan #dcgr #diligroup #vietdrama #phunusongtothon #giadinh,244.6K,992,0,00:01/03:42,1672723195.3672833,MSI I5
https://www.tiktok.com/@dungnguyentrentiktok/video/7150884969458568475?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,,211.8K,7321,1,00:01/01:10,1672723198.059556,MSI I5
https://www.tiktok.com/@brentrivera/video/7181984312034708778?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Coffee delivery,899K,9436,0,00:02/00:11,1672723201.3876672,MSI I5
https://www.tiktok.com/@lebong95/video/7182457269420920090?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Made You Look phiên bản chậm trễ nhất 💄: @Tuấn Ngọc Võ . Ib: @Quỳnh Thi #MadeYouLook #TetMaiMan,330.2K,1582,0,00:01/00:28,1672723204.4008672,MSI I5
https://www.tiktok.com/@thanhtran.gtuo/video/7183911847676972315?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Chụp một tấm giữ cả đời 🥹 #gtuo #guotuocul #xuhuong,15K,64,0,00:03/01:28,1672723209.4140797,MSI I5
https://www.tiktok.com/@doanhteacher97/video/7151337500651392283?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Mời các cao nhân vào làm bài sau đó báo kết quả cho thầy nào. 😊#thaygiaotieuhoc,4154,336,0,00:01/00:09,1672723212.430279,MSI I5
