url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@diepquang.1505/video/7156432241403514139?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,,41.9K,307,0,00:00/00:04,1672724198.5886834,MSI I5
https://www.tiktok.com/@hanh_sino20/video/7157664225970703642?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Nhạc này cuốn quá🤍🫶 #hanhsino #xuhuong,109.9K,297,0,00:03/00:07,1672724203.596434,MSI I5
https://www.tiktok.com/@thaisontran1616/video/7176272975195327771?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Chắc chắn rồi 😝😝😝#thaisontran,31.7K,960,0,00:03/00:10,1672724208.6069546,MSI I5
https://www.tiktok.com/@n.hzuyen010/video/7176945773412764954?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#xuhuongtiktok mí pék ju ank lém 🤭🤭@Mỹ Shin @🎀Con Thỏ🎀,42.2K,315,1,00:01/00:09,1672724211.3687968,MSI I5
https://www.tiktok.com/@yenkim07022004__/video/7161617854930914587?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#CapCut,276.3K,1465,0,00:02/00:15,1672724215.6222305,MSI I5
https://www.tiktok.com/@litieunam/video/7155064406970207514?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,không nhấp máy dỗi😤#xuhuong #gaixinh,39.4K,51,0,00:01/00:08,1672724218.6345298,MSI I5
https://www.tiktok.com/@truonghaicutephomaique/video/7173981706402188570?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,e khong thuộc bài lắm cho e xinloi ... #thaybinyet #tiktokdancevn #truonghaicutephomaique #dqn #vcrew,373.4K,774,0,00:00/00:11,1672724220.6395466,MSI I5
https://www.tiktok.com/@_bekemiuanh/video/7160736493722455322?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#CapCut,44.7K,274,0,00:01/00:15,1672724223.651009,MSI I5
https://www.tiktok.com/@inlineback/video/7151738271192698138?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,t3:))#🌚 #xuhuong #meme #memes #thaibahung #fyp,9279,1607,1,00:01/00:06,1672724226.6405237,MSI I5
https://www.tiktok.com/@iuhanhh_08/video/7159531869560753434?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lưu😚💞 #nhn_1603 #xuhuong #quanhedoitactraphi💞 #fyp,168.5K,1210,1,00:07/00:10,1672724235.676244,MSI I5
https://www.tiktok.com/@ngocthao3005/video/7161688975252393243?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Ban ngày nhìn mình chơi bời vậy thôi Chứ ban đêm mình vẫn còn học đánh vần🙃,34.9K,135,0,00:01/00:08,1672724238.6875372,MSI I5
https://www.tiktok.com/@bvl__2007/video/7165835925837090075?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Đường tình duyên của 12 tháng sinh 🥰🥰#xuhuongtiktok #trending,46.2K,4731,0,00:00/00:06,1672724247.7043688,MSI I5
https://www.tiktok.com/@_baophong/video/7182485790415392027?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Xin chào quý hành khách thân mến ! #donnammoi #tetvietnam #xuhuong #TetMaiMan #CapCut #capcutmaster #pg103,240.3K,2304,0,00:02/00:26,1672724251.7217352,MSI I5
https://www.tiktok.com/@hquangtuyn/video/7183554129929817370?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Chúc mừng năm mới 🥂 2023 ❤️ #nhacchuong,28.9K,249,1,00:07/00:14,1672724260.745658,MSI I5
https://www.tiktok.com/@ngtrdiep206/video/7183340290365787419?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Chuc mn xem dc video nay gap that nhieu may man . #xuhuong #tuongtac #xh #trdiep,21.2K,224,0,00:01/00:10,1672724263.7525175,MSI I5
https://www.tiktok.com/@meme1232340/video/7158296352114609454?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#meme #memes #funny,258.2K,900,0,00:02/00:17,1672724267.7655964,MSI I5
https://www.tiktok.com/@molistarofficial/video/7175103291477511425?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Thời tới đỡ không được #onhaxemtin #tiktoknews #tinhot #tinnong #molistar #moligroup,348.5K,8495,0,00:11/00:31,1672724279.787785,MSI I5
https://www.tiktok.com/@doantrungquoc22/video/7165052169396243739?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,vừa xem nấu ăn vừa giải trí nào mn ưi 😅 #Tieurongtinh #videoanuong #xuhuong,784.4K,3601,0,00:01/01:50,1672724282.8032696,MSI I5
https://www.tiktok.com/@theanh28entertainment/video/7173978816447008002?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,ĐIỀU BẤT NGỜ NẰM Ở CUỐI... #theanh28news #tiktoknews #theanh28,871.4K,15.4K,1,00:09/01:00,1672724293.8154507,MSI I5
https://www.tiktok.com/@vitaminkk/video/7181761711064550682?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Thèm ăn quá phải làm sao 😂 #ancungtiktok #reviewanngon #vlog #vitaminkk #tetmaiman,134.3K,270,0,00:02/00:53,1672724297.8257034,MSI I5
https://www.tiktok.com/@m.t.anh.huyenn/video/7182559678721723674?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Qua thái ghiền ăn mực sống này nha mí bà kkk 😁 #tiktokgiaitri,267.2K,530,1,00:03/00:34,1672724302.533939,MSI I5
https://www.tiktok.com/@tiin.vn/video/7169425954803141889?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Sáng mùng 1 tại núi Bà Đen, Tây Ninh: Hiện tượng thiên nhiên độc đáo rất hiếm có tại Việt Nam xuất hiện #tiinnews #nuibaden #tayninh",387.1K,34.4K,0,00:02/00:40,1672724306.8408902,MSI I5
https://www.tiktok.com/@maquycothatghost/video/7177647735217163566?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Camera quay lại được Quỷ ám xưỡng may của chị tôi rất kinh hãi #ghost #horror #kinhdi #maquy #tamlinh #huyenbi #maquycothatghost #xuhuong #xuhuongtiktok #phimma #phimkinhdi #haloween #horrorfilm,7941,1247,1,00:04/01:00,1672724312.4300783,MSI I5
https://www.tiktok.com/@levankha543/video/7181407871953849643?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#trangtri #traicay #hoaqua,168.3K,210,0,00:04/00:20,1672724318.8645623,MSI I5
https://www.tiktok.com/@pii_iiiiiiii/video/7151045529571446042?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#CapCut cưới hông anh ơi 😍😍😍 @Huỳnh thương,27K,472,0,00:10/00:12,1672724330.8903897,MSI I5
